result_1_limit,result_0_limit,accuracy
0.6,0.55,72.66666666666667
0.6,0.56,73.2
0.6,0.57,73.42222222222222
0.6,0.58,73.6
0.6,0.59,73.86666666666667
0.61,0.55,72.22222222222221
0.61,0.56,72.75555555555555
0.61,0.57,72.97777777777777
0.61,0.58,73.15555555555555
0.61,0.59,73.42222222222222
0.61,0.6,73.6888888888889
0.62,0.55,71.95555555555555
0.62,0.56,72.4888888888889
0.62,0.57,72.71111111111111
0.62,0.58,72.88888888888889
0.62,0.59,73.15555555555555
0.62,0.6,73.42222222222222
0.62,0.61,73.46666666666667
0.63,0.55,71.2
0.63,0.56,71.73333333333333
0.63,0.57,71.95555555555555
0.63,0.58,72.13333333333334
0.63,0.59,72.39999999999999
0.63,0.6,72.66666666666667
0.63,0.61,72.71111111111111
0.63,0.62,72.8
0.64,0.55,70.88888888888889
0.64,0.56,71.42222222222222
0.64,0.57,71.64444444444445
0.64,0.58,71.82222222222222
0.64,0.59,72.08888888888889
0.64,0.6,72.35555555555555
0.64,0.61,72.39999999999999
0.64,0.62,72.4888888888889
0.64,0.63,72.57777777777777
0.65,0.55,70.39999999999999
0.65,0.56,70.93333333333334
0.65,0.57,71.15555555555557
0.65,0.58,71.33333333333334
0.65,0.59,71.6
0.65,0.6,71.86666666666667
0.65,0.61,71.91111111111111
0.65,0.62,72.0
0.65,0.63,72.08888888888889
0.65,0.64,72.26666666666667
