Experiment,Topic,ID,Question,Response,CorrectAnswer,label
1,Physics,104,how thin can a fiber optic be,a strand of hair,as thin as a human hair,1
1,Physics,126,how thin can a fiber optic be,really thin and small,as thin as a human hair,-1
1,Physics,130,how thin can a fiber optic be,as thin as a human hair,as thin as a human hair,1
1,Physics,131,how thin can a fiber optic be,very thin small than a pice of hair,as thin as a human hair,1
1,Physics,156,how thin can a fiber optic be,less than the width of a human hair,as thin as a human hair,1
1,Physics,161,how thin can a fiber optic be,as thin as a piece of human hair,as thin as a human hair,1
1,Physics,170,how thin can a fiber optic be,very very thin like hair,as thin as a human hair,1
1,Physics,184,how thin can a fiber optic be,as thin as a human hair,as thin as a human hair,1
1,Physics,185,how thin can a fiber optic be,as thin as a strand of hair,as thin as a human hair,1
1,Physics,192,how thin can a fiber optic be,as thin as a piece of hair,as thin as a human hair,1
1,Physics,201,how thin can a fiber optic be,as thin as a hair,as thin as a human hair,1
1,Physics,206,how thin can a fiber optic be,really thin,as thin as a human hair,-1
1,Physics,220,how thin can a fiber optic be,it can be thin as a hair,as thin as a human hair,1
1,Physics,234,how thin can a fiber optic be,very thin thin than a human hair,as thin as a human hair,1
1,Physics,243,how thin can a fiber optic be,really thin,as thin as a human hair,-1
1,Physics,250,how thin can a fiber optic be,1 mm,as thin as a human hair,-1
1,Physics,261,how thin can a fiber optic be,as thin as a strand of hair,as thin as a human hair,1
1,Physics,268,how thin can a fiber optic be,as thin as a human hair,as thin as a human hair,1
1,Physics,279,how thin can a fiber optic be,really thin like really thin,as thin as a human hair,-1
1,Physics,288,how thin can a fiber optic be,millimeter,as thin as a human hair,-1
1,Physics,292,how thin can a fiber optic be,very thin micro,as thin as a human hair,-1
1,Physics,295,how thin can a fiber optic be,0,as thin as a human hair,-1
1,Physics,305,how thin can a fiber optic be,as thin as you want,as thin as a human hair,-1
1,Physics,316,how thin can a fiber optic be,very thin,as thin as a human hair,-1
1,Physics,317,how thin can a fiber optic be,fiber optic can be as thin as a hair because it only need to be as big as a laser,as thin as a human hair,1
1,Physics,329,how thin can a fiber optic be,n a,as thin as a human hair,-1
1,Physics,336,how thin can a fiber optic be,thin than human hair,as thin as a human hair,1
1,Physics,353,how thin can a fiber optic be,piece of string,as thin as a human hair,-1
1,Physics,357,how thin can a fiber optic be,hair width,as thin as a human hair,1
1,Physics,371,how thin can a fiber optic be,hu,as thin as a human hair,-1
1,Physics,375,how thin can a fiber optic be,as thin as a hair strand,as thin as a human hair,1
1,Physics,104,a common application of laser in medicine be,eye surgery and tumor removal,remove skin discoloration or tumor,1
